name	lon	lat	pop	pat
千葉	140.1234722	35.62102778	981871 	4247
中央	140.13175	35.59422222	212456 	1170
花見川	140.0789444	35.67016667	178381 	723
稲毛	140.1075556	35.64419444	161464 	701
若葉	140.1643333	35.62672222	149536 	785
緑	140.2119444	35.54380556	130042 	377
美浜	140.0658056	35.63380556	149992 	447
銚子	140.8129167	35.73408333	57622 	62
市川	139.9245	35.71330556	496985 	2572
船橋	140.0093056	35.71847222	641515 	3552
館山	139.8598889	34.99008333	44714 	55
木更津	139.9441111	35.37586111	136182 	399
松戸	139.9300833	35.79947222	492680 	2248
野田	139.8614722	35.96711111	152259 	568
茂原	140.3029167	35.43677778	86462 	155
成田	140.3238889	35.78563889	131131 	651
佐倉	140.1843333	35.71788889	169178 	695
東金	140.3715556	35.56058333	57605 	139
旭	140.6558889	35.72433333	63575 	40
習志野	140.0365833	35.68477778	175057 	835
柏	139.9706667	35.85488889	433965 	1926
勝浦	140.2894167	35.15875	16783 	27
市原	140.1151111	35.49325	268208 	797
流山	139.918	35.86883333	200136 	857
八千代	140.1010556	35.72261111	200376 	986
我孫子	140.0471944	35.86986111	130354 	593
鴨川	140.0944444	35.11422222	31622 	54
鎌ケ谷	139.9997778	35.76819444	109402 	483
君津	139.9385278	35.31438889	81402 	139
富津	139.86175	35.28266667	42346 	56
浦安	139.9041111	35.65083333	169973 	876
四街道	140.1723056	35.66894444	93229 	353
袖ケ浦	139.9986389	35.42830556	63862 	173
八街	140.3051944	35.65875	66820 	411
印西	140.1563056	35.80444444	103691 	410
白井	140.0469444	35.78875	61719 	263
富里	140.3335833	35.73677778	49808 	353
南房総	139.9221389	35.00994444	35512 	65
匝瑳	140.5578889	35.69263889	34456 	66
香取	140.5374444	35.86375	71620 	140
山武	140.4218611	35.61819444	48308 	123
いすみ	140.3662222	35.27755556	35643 	45
大網白里	140.3380556	35.51491667	47763 	92
酒々井	140.2732222	35.72886111	20363 	100
栄	140.2486944	35.83766667	19920 	87
神崎	140.4082222	35.89119444	5664 	14
多古	140.4719167	35.75394444	13818 	24
東庄	140.6745833	35.82125	13099 	81
九十九里	140.434	35.52963889	14664 	23
芝山	140.4050556	35.71225	6927 	30
横芝光	140.5004167	35.65438889	22286 	33
一宮	140.3707222	35.36911111	11824 	9
睦沢	140.3193611	35.36497222	6769 	9
長生	140.3544722	35.40705556	13707 	17
白子	140.3824167	35.44966667	10299 	13
長柄	140.2182222	35.44580556	6667 	2
長南	140.2474722	35.38225	7371 	14
大多喜	140.2331944	35.26875	8773 	8
御宿	140.35125	35.18980556	6797 	8
鋸南	139.8445278	35.12380556	7032 	26
