name	lon	lat	pop	pat
埼玉	139.5786389	35.92541667	7096269	NA
さいたま	139.6456389	35.89647222	1198996	NA
西	139.5798889	35.91391667	82827	331
北	139.6137778	35.93622222	136343	551
大宮	139.6218333	35.90644444	106238	593
見沼	139.6585278	35.93158333	153635	555
中央	139.6254722	35.88230556	93195	436
桜	139.6178889	35.86113889	91956	477
浦和	139.65275	35.87116667	144157	644
南	139.6596389	35.84544444	170455	793
緑	139.6929722	35.877	109315	510
岩槻	139.7046667	35.95266667	110875	291
川越	139.4724722	35.90783333	333003	1401
熊谷	139.3719167	36.15852778	203149	545
川口	139.7274444	35.82966667	492609	2825
行田	139.4613889	36.1405	86823	196
秩父	139.0737222	36.00611111	69386	167
所沢	139.4584722	35.79711111	337051	1326
飯能	139.3074722	35.85658333	82487	242
加須	139.6173611	36.12927778	68472	252
本庄	139.1715	36.22494444	79549	391
東松山	139.3985556	36.03236111	87933	233
春日部	139.7653056	35.97113889	237705	790
狭山	139.4191389	35.85480556	156033	468
羽生	139.5442778	36.16883333	56249	115
鴻巣	139.4956389	36.07544444	118851	292
深谷	139.2755	36.18372222	144920	453
上尾	139.5881111	35.97261111	223573	695
草加	139.7988611	35.83544444	236899	990
越谷	139.7883333	35.89911111	319267	1317
蕨	139.6880278	35.824	68360	438
戸田	139.6704444	35.814	116743	1021
入間	139.3811389	35.82744444	149074	478
朝霞	139.5913611	35.80644444	125676	735
志木	139.5765833	35.83238889	69218	409
和光	139.61725	35.78447222	74950	501
新座	139.5604444	35.7885	155261	618
桶川	139.5581944	36.00330556	75063	351
久喜	139.6698611	36.0825	70830	496
北本	139.5357222	36.02763889	70138	151
八潮	139.8380556	35.81708333	79318	384
富士見	139.5440833	35.84866667	104386	620
三郷	139.8715278	35.83133333	128474	790
蓮田	139.6538611	35.9925	63711	158
坂戸	139.3946667	35.96058333	98962	334
幸手	139.7215833	36.07375	53918	94
鶴ヶ島	139.40225	35.94058333	69192	200
日高	139.3444722	35.89591667	56519	196
吉川	139.8516667	35.88497222	64383	279
ふじみ野	139.5151944	35.86644444	104278	718
白岡	139.6681944	36.02152778	24926	142
伊奈	139.6190278	35.99986111	41334	118
三芳	139.5274167	35.83725	37364	211
毛呂山	139.3225833	35.9445	36614	150
越生	139.2926667	35.96238889	12997	32
滑川	139.3536111	36.05377778	16341	24
嵐山	139.3216944	36.05105556	18951	36
小川	139.2628889	36.06086111	34264	63
川島	139.4706667	35.98169444	22368	41
吉見	139.4488333	36.04497222	21859	89
鳩山	139.3461389	35.98361111	15630	32
ときがわ	139.2751944	36.00711111	12974	21
横瀬	139.1056111	35.98783333	9367	12
皆野	139.0992222	36.07305556	11272	7
長瀞	139.1138889	36.1115	8178	17
小鹿野	138.9926667	36.01786111	14070	7
東秩父	139.1915278	36.05330556	3592	4
美里	139.178	36.18136111	11824	19
神川	139.0931944	36.20102778	14548	20
上里	139.1432222	36.24666667	30808	105
寄居	139.2107778	36.11811111	36758	103
宮代	139.7207222	36.023	33153	104
杉戸	139.7366111	36.03688889	47206	102
松伏	139.8210278	35.92869444	31229	86
