i	p	lo	la
601	46272 	139.754225	35.69328056
1828	111460 	139.7804778	35.67127222
3792	199841 	139.7384333	35.6494
6551	281783 	139.7084167	35.70356667
1688	188317 	139.7476444	35.71859167
2069	165945 	139.7880389	35.71605556
2150	236387 	139.81425	35.70962778
3575	441262 	139.8177556	35.67587222
3251	347059 	139.7244167	35.61110556
3053	253176 	139.6896639	35.62966667
5860	673925 	139.7105778	35.57309444
8188	831224 	139.6387611	35.64208056
3315	195794 	139.6928861	35.66831389
3710	300497 	139.6638611	35.70929722
4442	527942 	139.6274083	35.69758333
2940	244274 	139.7126333	35.73219167
2448	319470 	139.730075	35.76346944
1756	185112 	139.7803139	35.739525
4126	516905 	139.6795389	35.76839444
4828	690783 	139.6212472	35.74655556
5225	638194 	139.7994667	35.7775
3968	430697 	139.8544361	35.75077778
4529	650600 	139.8759472	35.69254722
2300	547702 	139.3329056	35.65090556
856	173895 	139.4089972	35.71187778
883	134686 	139.5619972	35.70757778
1103	176210 	139.5630278	35.6864
559	138127 	139.2792333	35.79081111
1197	242614 	139.4828472	35.67130556
578	110573 	139.364825	35.70924722
1357	215736 	139.5545944	35.65556389
1942	415289 	139.4436194	35.56449722
598	111321 	139.5107861	35.70072222
679	179027 	139.4822278	35.72706944
731	173481 	139.3970611	35.66378056
529	148512 	139.4722056	35.75768889
504	116233 	139.4637333	35.70466667
280	72760 	139.4396056	35.68933056
374	58376 	139.3321889	35.73594167
395	76223 	139.577925	35.63579167
323	82218 	139.4296861	35.74366389
264	72506 	139.51915	35.77866667
440	114606 	139.5209306	35.75444444
265	69559 	139.3890028	35.74797778
601	145560 	139.43925	35.63006944
366	81565 	139.4963167	35.63369722
254	55812 	139.3144306	35.76438889
380	80973 	139.2824056	35.72911667
1072	190806 	139.5458972	35.73429444
127	33720 	139.345925	35.77313611
64	16025 	139.2555056	35.74241944
5	2814 	139.1204861	35.7262
18	6447 	139.1180833	35.81044722
21	8688 	139.3856889	34.74058333
0	284 	139.2801722	34.52779722
0	3034 	139.2511	34.37016667
1	2010 	139.1366194	34.20646944
4	2791 	139.5121167	34.08613889
1	294 	139.5922972	33.89516944
7	8318 	139.7958139	33.10709167
0	157 	139.7616778	32.46672778
3	2387 	142.3565056	26.65324167
